"","ID","palmitic","palmitoleic","stearic","oleic","linoleic","linolenic","arachidic","eicosenoic"
"1",1,1075,75,226,7823,672,36,60,29
"2",2,1088,73,224,7709,781,31,61,29
"3",3,911,54,246,8113,549,31,63,29
"4",4,966,57,240,7952,619,50,78,35
"5",5,1051,67,259,7771,672,50,80,46
"6",6,911,49,268,7924,678,51,70,44
"7",7,922,66,264,7990,618,49,56,29
"8",8,1100,61,235,7728,734,39,64,35
"9",9,1082,60,239,7745,709,46,83,33
"10",10,1037,55,213,7944,633,26,52,30
"11",11,1051,35,219,7978,605,21,65,24
"12",12,1036,59,235,7868,661,30,62,44
"13",13,1074,70,214,7728,747,50,79,33
"14",14,875,52,243,8018,655,41,79,32
"15",15,952,49,254,7795,780,50,75,41
"16",16,1155,98,201,7606,816,32,60,29
"17",17,943,94,183,7840,788,42,75,31
"18",18,1278,69,205,7344,957,45,70,28
"19",19,961,70,195,7958,742,46,75,30
"20",20,952,77,258,7820,736,43,78,33
"21",21,1074,67,236,7692,716,56,83,45
"22",22,995,46,288,7806,679,56,86,40
"23",23,1056,53,247,7703,700,54,89,51
"24",24,1065,39,234,7876,703,42,74,26
"25",25,1065,45,245,7779,696,47,82,38
"26",26,1315,139,230,7299,832,42,60,32
"27",27,1321,136,217,7174,950,43,63,30
"28",28,1359,115,246,7234,874,45,63,18
"29",29,1378,111,272,7127,940,46,64,23
"30",30,1295,109,245,7253,903,43,62,38
"31",31,1275,121,215,7285,892,40,68,41
"32",32,1336,120,318,7083,915,50,70,38
"33",33,1309,122,241,7257,870,46,72,35
"34",34,1340,114,189,7337,820,48,72,21
"35",35,1299,116,253,7309,823,40,69,27
"36",36,1221,107,221,7441,798,54,70,28
"37",37,1245,72,283,7395,829,44,67,28
"38",38,1285,129,244,7323,819,57,65,36
"39",39,1248,107,313,7299,840,46,66,33
"40",40,1356,106,236,7209,866,48,75,36
"41",41,1260,102,228,7354,870,49,64,28
"42",42,1261,121,312,7238,877,47,65,25
"43",43,1304,124,279,7160,928,48,61,37
"44",44,1344,117,287,7129,897,51,65,41
"45",45,1323,96,300,7351,757,47,54,26
"46",46,1292,117,215,7351,839,48,61,32
"47",47,1254,118,244,7394,786,46,71,24
"48",48,1312,131,259,7167,939,41,69,20
"49",49,1213,109,301,7261,925,47,65,31
"50",50,1359,98,351,7262,780,41,56,16
"51",51,1266,97,263,7435,743,45,69,29
"52",52,1298,99,311,7311,787,45,67,23
"53",53,1272,116,279,7258,872,43,72,27
"54",54,1278,87,332,7379,771,44,53,24
"55",55,1184,112,311,7391,819,48,57,28
"56",56,1382,110,268,7241,828,39,60,30
"57",57,1183,146,292,7580,618,38,51,23
"58",58,1261,153,219,7355,818,52,70,26
"59",59,1198,136,239,7639,633,27,55,19
"60",60,1225,134,232,7658,616,36,49,26
"61",61,1339,166,208,7190,923,40,69,25
"62",62,1132,157,240,7641,638,45,60,31
"63",63,1381,183,245,7385,609,47,70,25
"64",64,1409,128,257,7257,759,43,57,16
"65",65,1306,127,250,7254,869,47,68,24
"66",66,1372,120,250,7355,702,44,68,28
"67",67,1336,113,242,7293,855,38,60,18
"68",68,1401,151,238,7164,857,45,72,36
"69",69,1390,119,234,7236,823,40,62,41
"70",70,1432,152,281,7029,949,39,55,25
"71",71,1412,124,298,7182,790,45,68,28
"72",72,1366,147,291,7197,783,51,70,34
"73",73,1383,118,273,7282,738,45,68,29
"74",74,1283,102,263,7400,763,54,65,28
"75",75,1296,136,260,7380,780,48,51,18
"76",76,1287,108,287,7343,826,44,44,23
"77",77,1351,159,296,7229,810,36,60,22
"78",78,1241,97,268,7499,709,52,69,36
"79",79,1267,101,300,7230,898,74,65,34
"80",80,1235,138,252,7322,861,54,66,36
"81",81,1255,103,223,7395,848,47,56,30
"82",82,1454,183,196,7057,1014,27,46,19
"83",83,1347,194,197,7277,895,25,46,15
"84",84,1364,204,225,6929,1084,21,50,14
"85",85,1410,199,216,7130,955,21,48,19
"86",86,1384,178,208,7105,999,29,67,26
"87",87,1412,185,217,6842,1203,34,72,32
"88",88,1410,232,280,6715,1233,32,60,24
"89",89,1509,209,257,6647,1240,42,62,30
"90",90,1317,197,256,7036,1067,40,60,22
"91",91,1286,192,203,7132,1053,38,65,28
"92",92,1273,191,202,6862,1303,43,70,28
"93",93,1463,183,183,6747,1307,36,60,24
"94",94,1399,187,191,6861,1233,38,60,17
"95",95,1413,193,208,6875,1202,30,60,18
"96",96,1369,206,203,6953,1168,35,50,16
"97",97,1488,172,170,6920,1144,37,54,14
"98",98,1323,160,205,6911,1298,24,50,17
"99",99,1311,166,170,6902,1312,41,69,28
"100",100,1286,163,183,7040,1230,29,57,12
"101",101,1380,173,188,7038,1139,31,44,14
"102",102,1394,164,223,7086,1042,24,43,23
"103",103,1324,174,198,6863,1289,36,70,21
"104",104,1290,157,192,7000,1263,26,51,19
"105",105,1361,163,196,6888,1273,37,58,24
"106",106,1387,182,242,6913,1101,44,68,30
"107",107,1369,180,181,7000,1130,39,45,24
"108",108,1303,165,175,7025,1243,31,41,16
"109",109,1346,160,169,7072,1151,39,48,15
"110",110,1369,171,184,6937,1246,30,48,15
"111",111,1305,172,169,7004,1260,28,50,11
"112",112,1351,179,186,6935,1243,36,50,19
"113",113,1283,151,182,7000,1271,40,52,21
"114",114,1449,175,198,6883,1162,40,70,22
"115",115,1310,180,183,7054,1202,26,32,12
"116",116,1360,163,176,6901,1280,28,65,27
"117",117,1300,187,196,6920,1253,41,76,25
"118",118,1368,171,218,7010,1057,41,54,26
"119",119,1207,151,156,7159,1234,27,51,14
"120",120,1348,154,183,6917,1277,48,56,16
"121",121,1334,186,229,7261,827,34,56,20
"122",122,1301,156,207,7003,1229,41,48,14
"123",123,1226,181,213,6961,1230,47,74,26
"124",124,1201,168,190,7100,1216,43,64,16
"125",125,1297,153,177,7004,1260,35,60,16
"126",126,1248,163,158,7103,1222,31,60,14
"127",127,1335,159,197,6974,1220,36,60,17
"128",128,1219,167,171,7087,1254,35,50,16
"129",129,1318,179,177,7030,1194,35,42,25
"130",130,1264,167,166,7130,1187,22,52,12
"131",131,1201,175,201,7129,1193,36,49,15
"132",132,1252,180,181,7055,1214,31,59,38
"133",133,1273,182,209,6965,1191,43,74,23
"134",134,1351,179,170,7034,1154,35,66,10
"135",135,1336,155,212,7103,1086,33,55,20
"136",136,1499,201,182,6803,1204,30,56,24
"137",137,1425,198,193,7032,1041,31,52,17
"138",138,1358,204,227,6962,1109,41,65,34
"139",139,1346,181,257,7147,933,40,60,36
"140",140,1392,186,256,6732,1278,53,64,29
"141",141,1311,166,222,7006,1147,41,80,27
"142",142,1314,171,229,6923,1198,47,76,42
"143",143,1409,200,207,6842,1224,31,60,27
"144",144,1342,174,221,6993,1147,36,64,23
"145",145,1387,182,206,7100,1020,34,54,17
"146",146,1413,202,205,6920,1165,36,46,13
"147",147,1430,209,225,6800,1200,32,59,27
"148",148,1336,185,223,6956,1155,56,73,16
"149",149,1372,200,200,6916,1189,33,50,22
"150",150,1330,157,228,7055,1108,42,55,25
"151",151,1412,207,208,6822,1239,36,51,28
"152",152,1321,209,217,6948,1178,42,62,23
"153",153,1401,200,217,6980,1073,40,68,21
"154",154,1401,214,217,6734,1293,44,69,27
"155",155,1457,168,242,6724,1266,54,59,30
"156",156,1451,199,221,6835,1177,37,51,29
"157",157,1438,206,248,6806,1183,34,57,28
"158",158,1462,204,237,6644,1309,42,54,28
"159",159,1529,215,203,6602,1310,45,69,27
"160",160,1510,189,245,6752,1188,36,52,28
"161",161,1437,222,184,6803,1240,43,56,16
"162",162,1327,129,247,7024,1157,38,56,22
"163",163,1438,172,252,6630,1380,40,64,24
"164",164,1447,176,189,6849,1180,42,64,26
"165",165,1355,144,214,6972,1198,33,60,24
"166",166,1369,156,241,6890,1209,42,63,30
"167",167,1471,188,276,6697,1269,34,51,16
"168",168,1456,179,240,6738,1267,41,65,14
"169",169,1314,140,207,7020,1220,28,59,12
"170",170,1408,176,192,6909,1195,45,50,25
"171",171,1397,172,191,7107,1018,36,50,29
"172",172,1413,191,186,6937,1180,31,46,13
"173",173,1539,194,213,6764,1178,38,58,16
"174",174,1304,159,234,7019,1174,38,53,19
"175",175,1341,160,231,7033,1069,40,67,33
"176",176,1508,208,249,6641,1311,25,43,20
"177",177,1515,226,257,6595,1287,41,63,16
"178",178,1262,165,235,7120,1113,32,51,21
"179",179,1307,197,238,7003,1144,37,50,24
"180",180,1294,159,253,7009,1190,30,52,13
"181",181,1460,187,215,6843,1172,35,56,32
"182",182,1476,187,203,6837,1197,36,48,22
"183",183,1482,178,197,6814,1201,40,64,24
"184",184,1388,176,185,7008,1111,48,53,31
"185",185,1367,172,235,7066,1054,35,45,26
"186",186,1272,207,205,7152,1098,37,52,22
"187",187,1323,157,234,7132,1022,38,58,31
"188",188,1206,218,242,7193,1002,37,54,25
"189",189,1383,157,217,7018,1090,40,60,37
"190",190,1521,190,238,6956,986,36,50,23
"191",191,1350,168,227,6986,1165,29,58,17
"192",192,1422,181,218,6813,1230,30,59,21
"193",193,1298,166,224,6986,1162,34,65,31
"194",194,1447,236,245,6607,1336,33,51,21
"195",195,1347,197,211,6795,1300,32,59,34
"196",196,1339,170,253,6989,1110,29,63,23
"197",197,1388,183,216,6867,1208,28,61,21
"198",198,1527,260,232,6488,1370,31,45,20
